tr_type,route,company,tr_from,tr_to,departure,arrival,source
Fly,QR175,Qatar Airways,Doha,Oslo,2021-07-24 07:55:00,2021-07-24 13:40:00,fhi:web
Fly,TK1751,Turkish Airlines,Istanbul,Oslo,2021-07-24 07:35:00,2021-07-24 10:25:00,fhi:web
Fly,WF678,Widerøe,Bergen,Trondheim,2021-07-23 16:50:00,2021-07-23 17:55:00,fhi:web
Fly,DY8416,Norwegian,Oslo,Evenes,2021-07-23 16:40:00,2021-07-23 18:20:00,fhi:web
Fly,DY3223,Norwegian,København,Oslo,2021-07-23 13:30:00,2021-07-23 14:40:00,fhi:web
Fly,SK6354,SAS,Malaga,Oslo,2021-07-23 11:30:00,2021-07-23 15:30:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-23 11:20:00,2021-07-23 15:20:00,fhi:web
Fly,DY1403,Norwegian,Nice,Oslo,2021-07-23 10:35:00,2021-07-23 13:25:00,fhi:web
Fly,ET714,Ethiopian Airlines,Addis Ababa,Stockholm,2021-07-22 23:40:00,2021-07-23 08:45:00,fhi:web
Fly,DY3223,Norwegian,Oslo,Harstad,2021-07-22 17:55:00,2021-07-22 19:35:00,fhi:web
Fly,DY624,Norwegian,Oslo,Bergen,2021-07-22 17:45:00,2021-07-22 18:40:00,fhi:web
Fly,SK885,SAS,Stockholm,Oslo,2021-07-22 17:35:00,2021-07-22 18:35:00,fhi:web
Fly,SK364,SAS,Oslo,Trondheim,2021-07-22 17:10:00,2021-07-22 18:05:00,fhi:web
Fly,SK268,SAS,Bergen,Oslo,2021-07-22 14:10:00,2021-07-22 15:00:00,fhi:web
Fly,TK1753,Turkish Airlines,Istanbul,Oslo,2021-07-22 14:05:00,2021-07-22 17:00:00,fhi:web
Fly,DY1735,Norwegian,Palma de Mallorca,Oslo,2021-07-22 12:50:00,2021-07-22 16:25:00,fhi:web
Tog,22,SJ Nord,Lillehammer,Åndalsnes,2021-07-22 12:01:00,2021-07-22 15:31:00,fhi:web
Fly,SK4680,SAS,Malaga,Oslo,2021-07-22 11:30:00,2021-07-22 15:30:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-22 11:20:00,2021-07-22 15:20:00,fhi:web
Fly,DY752,Norwegian,Oslo,Trondheim,2021-07-22 10:40:00,2021-07-22 11:35:00,fhi:web
Fly,KL1143,KLM,Amsterdam,Oslo,2021-07-22 09:20:00,2021-07-22 11:05:00,fhi:web
Tog,41,VY,Bergen,Oslo S,2021-07-22 07:54:00,2021-07-22 14:21:00,fhi:web
Fly,VY8538,Vueling,Barcelona,Oslo,2021-07-22 07:20:00,2021-07-22 10:50:00,fhi:web
Fly,SK476,SAS,Købehavn,Oslo,2021-07-21 21:50:00,2021-07-21 23:00:00,fhi:web
Fly,KL1193,KLM,Amsterdam,Bergen,2021-07-21 21:10:00,2021-07-21 22:50:00,fhi:web
Fly,KL1151,KLM,Amsterdam,Oslo,2021-07-21 20:50:00,2021-07-21 22:35:00,fhi:web
Fly,DY548,Norwegian,Oslo,Stavanger,2021-07-21 20:45:00,2021-07-21 21:35:00,fhi:web
Fly,DY8416,Norwegian,Antalya,Oslo,2021-07-21 17:40:00,2021-07-21 21:00:00,fhi:web
Fly,WF855,Widerøe,Tromsø,Stokmarknes,2021-07-21 17:05:00,2021-07-21 17:45:00,fhi:web
Fly,AY915,Finnair,Helsinki,Oslo,2021-07-21 16:25:00,2021-07-21 17:35:00,fhi:web
Fly,DY412,Norwegian,Oslo,ÅLesund,2021-07-21 16:05:00,2021-07-21 17:05:00,fhi:web
Fly,SK263,SAS,Oslo,Bergen,2021-07-21 12:50:00,2021-07-21 13:40:00,fhi:web
Fly,DY311,Norwegian,Kirkenes,Oslo,2021-07-21 12:00:00,2021-07-21 14:30:00,fhi:web
Fly,SK2882,SAS,København,Trondheim,2021-07-21 12:00:00,2021-07-21 13:35:00,fhi:web
Fly,DX542,DAT,Oslo,Stord,2021-07-21 11:45:00,2021-07-21 12:45:00,fhi:web
Fly,DY1403,Norwegian,Nice,Oslo,2021-07-21 10:35:00,2021-07-21 13:25:00,fhi:web
Fly,SK260,SAS,Bergen,Oslo,2021-07-21 10:20:00,2021-04-21 11:10:00,fhi:web
Fly,LH860,Lufthansa,Frankfurt,Oslo,2021-07-21 10:00:00,2021-07-21 11:55:00,fhi:web
Fly,SK4546,SAS,Oslo,Alta,2021-07-21 08:30:00,2021-07-21 10:25:00,fhi:web
Fly,QR175,Qatar Airways,Doha,Oslo,2021-07-21 07:55:00,2021-07-21 13:40:00,fhi:web
Fly,ET714,Ethiopian Airlines,Addis Ababa,Stockholm,2021-07-20 23:40:00,2021-07-21 08:45:00,fhi:web
Fly,DY638,Norwegian,Oslo,Bergen,2021-07-20 22:00:00,2021-07-20 22:55:00,fhi:web
Buss,200,VY,Oslo,Hønefoss,2021-07-20 20:40:00,2021-07-20 21:50:00,fhi:web
Skip,Linje 2,Norled,Tromsø,Harstad,2021-07-20 16:15:00,2021-07-20 19:15:00,fhi:web
Skip,2 MS Fjordprinsen,Norled,Tromsø,Harstad,2021-07-20 16:15:00,2021-07-20 19:15:00,fhi:web
Fly,DY412,Norwegian,Oslo,Ålesund,2021-07-20 16:05:00,2021-07-20 17:05:00,fhi:web
Fly,SK2743,SAS,Palanga,Oslo,2021-07-20 15:10:00,2021-07-20 15:45:00,fhi:web
Fly,TK1753,Turkish Airlines,Istanbul,Oslo,2021-07-20 14:05:00,2021-07-20 17:00:00,fhi:web
Skip,Color Fantasy,Colorline,Kiel,Oslo,2021-07-20 14:00:00,2021-07-22 10:00:00,fhi:web
Skip,Color Magic,Colorline,Kiel,Oslo,2021-07-20 14:00:00,2021-07-21 10:00:00,fhi:web
Fly,SK4704,SAS,Nice,Oslo,2021-07-20 12:45:00,2021-07-20 15:40:00,fhi:web
Fly,SK4680,SAS,Malaga,Oslo,2021-07-20 12:00:00,2021-07-20 16:00:00,fhi:web
Fly,SK1474,SAS,København,Oslo,2021-07-20 11:00:00,2021-07-20 12:10:00,fhi:web
Fly,DY1991,Norwegian,Split,Oslo,2021-07-20 10:45:00,2021-07-20 13:35:00,fhi:web
Fly,SU2174,Aeroflot,Moskva,Oslo,2021-07-20 10:20:00,2021-07-20 12:10:00,fhi:web
Fly,KL1199,KLM,Amsterdam,Stavanger,2021-07-20 09:40:00,2021-07-20 11:10:00,fhi:web
Fly,SK287,SAS,Oslo,Bergen,2021-07-20 08:00:00,2021-07-20 08:55:00,fhi:web
Tog,41,VY,Bergen,Oslo S,2021-07-20 07:54:00,2021-07-20 14:21:00,fhi:web
Fly,FR5598,Ryanair,Alicante,Haugesund,2021-07-20 07:15:00,2021-07-20 10:45:00,fhi:web
Fly,FR5598,RyanaAir,Alicante,Haugesund,2021-07-20 07:15:00,2021-07-20 10:45:00,fhi:web
Skip,Linje 2,Norled,Harstad,Tromsø,2021-07-20 07:00:00,2021-07-20 10:00:00,fhi:web
Skip,2 MS Fjorddronningen,Norled,Harstad,Tromsø,2021-07-20 07:00:00,2021-07-20 10:00:00,fhi:web
Fly,ET714,Ethiopian Airlines,Addis Ababa,Stockholm,2021-07-19 23:40:00,2021-07-20 08:45:00,fhi:web
Tog,L10,Vy,Oslo S,Lillehammer,2021-07-19 21:34:00,2021-07-19 23:38:00,fhi:web
Fly,WF177,Widerøe,Oslo,Ørstad Volda,2021-07-19 19:30:00,2019-07-19 20:40:00,fhi:web
Fly,WF592,Widerøe ,Kristiansand,Bergen,2021-07-19 18:25:00,2021-07-19 19:25:00,fhi:web
Fly,SK396,SAS,Bardufoss,Oslo,2021-07-19 18:15:00,2021-07-19 20:05:00,fhi:web
Fly,DY635,Norwegian,Bergen,Oslo,2021-07-19 17:40:00,2021-07-19 18:35:00,fhi:web
Fly,DY277,Norwegian,Kristiansand,Oslo,2021-07-19 17:10:00,2021-07-19 18:00:00,fhi:web
Skip,Linje 2,Norled,Tromsø,Harstad,2021-07-19 16:15:00,2021-07-19 16:15:00,fhi:web
Skip,Color magic,Colorline,Oslo,Kiel,2021-07-19 14:00:00,2021-07-20 10:00:00,fhi:web
Skip,Color Magic,Colorline,Oslo,Kiel,2021-07-19 14:00:00,2021-07-20 10:00:00,fhi:web
Fly,W61646,WizzAir,Kaunas,Ålesund,2021-07-19 13:10:00,2021-07-19 14:25:00,fhi:web
Fly,SK4704,SAS,Nice,Oslo,2021-07-19 12:45:00,2021-07-19 15:40:00,fhi:web
Fly,SK4692,SAS,Malloraca,Oslo,2021-07-19 10:50:00,2021-07-19 14:25:00,fhi:web
Fly,SK4692,SAS,Mallorca,Oslo,2021-07-19 10:50:00,2021-07-19 14:25:00,fhi:web
Fly,DY320,Norwegian,Oslo,Alta,2021-07-19 10:41:00,2021-07-19 12:31:00,fhi:web
Fly,WF914,Widerøe,Tromsø,Kirkenes,2021-07-19 10:30:00,2021-07-19 11:45:00,fhi:web
Fly,DY310,Norwegian,Oslo,Kirkenes,2021-07-19 09:20:00,2021-07-19 11:30:00,fhi:web
Fly,WF144,Widerøe,Bergen,Sogndal,2021-07-19 08:50:00,2021-07-19 10:15:00,fhi:web
Fly,SK4406,SAS,Oslo,Tromsø,2021-07-19 08:00:00,2021-07-19 09:50:00,fhi:web
Fly,FI318,Iceland Air,Reykjavik,Oslo,2021-07-19 07:47:00,2021-07-19 12:18:00,fhi:web
Fly,TK1751,Turkish Airlines,Istanbul,Oslo,2021-07-19 07:35:00,2021-07-19 10:25:00,fhi:web
Skip,Linje 2,Norled,Harstad,Tromsø,2021-07-19 07:00:00,2021-07-19 10:00:00,fhi:web
Fly,W61747,WizzAir,Gdansk,Stavanger,2021-07-19 06:15:00,2021-07-19 08:00:00,fhi:web
Fly,WF402,Widerøe,Sandefjord,Bergen,2021-07-19 06:10:00,2021-07-19 07:05:00,fhi:web
Fly,LH864,Lufthansa,Frankfurt,Oslo,2021-07-18 21:30:00,2021-07-18 23:25:00,fhi:web
Fly,WF426,Widerøe,Torp,Bergen,2021-07-18 21:00:00,2021-07-18 21:55:00,fhi:web
Tog,R10,Vy,Drammen,Lillehammer,2021-07-18 19:57:00,2021-07-18 22:37:00,fhi:web
Fly,DY629,Norwegian,Bergen,Oslo,2021-07-18 19:10:00,2021-07-18 20:05:00,fhi:web
Fly,W65033,WizzAir,Krakow,Oslo,2021-07-18 19:00:00,2021-07-18 21:15:00,fhi:web
Fly,DY8415,Norwegian,Bodø,Oslo,2021-07-18 18:00:00,2021-07-18 19:30:00,fhi:web
Fly,WF654,Widerøe,Kristiansand,Harstad,2021-07-18 14:55:00,2021-07-18 16:50:00,fhi:web
Fly,LH860,Lufthansa,Frankfurt,Oslo,2021-07-18 13:05:00,2021-07-18 15:00:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-18 11:20:00,2021-07-18 15:20:00,fhi:web
Fly,LH860,Lufthansa,Frankfurt,Oslo,2021-07-18 10:00:00,2021-07-18 11:55:00,fhi:web
Fly,SK2888,SAS,København . Trondheim,,2021-07-18 07:40:00,2021-07-18 09:10:00,fhi:web
Fly,SK1483,SAS,Stockholm,Oslo,2021-07-18 06:59:00,2021-07-18 07:59:00,fhi:web
Fly,DY1571,Norwegian,Burgas,Oslo,2021-07-17 21:20:00,2021-07-17 23:35:00,fhi:web
Fly,KL1193,KLM,Amsterdam,Bergen,2021-07-17 21:10:00,2021-07-17 22:50:00,fhi:web
Fly,SK4684,SAS,Malaga,Oslo,2021-07-17 20:00:00,2021-07-18 00:05:00,fhi:web
Fly,LH862,Lufthansa,Frankfurt,Oslo,2021-07-17 13:05:00,2021-07-17 15:00:00,fhi:web
Fly,DY1403,Norwegian,Nice,Oslo,2021-07-17 12:45:00,2021-07-17 15:35:00,fhi:web
Fly,SK4638,SAS,Aten,Oslo,2021-07-17 12:35:00,2021-07-17 15:25:00,fhi:web
Fly,DY1765,Norwegian,Malaga,Stavanger,2021-07-17 11:05:00,2021-07-17 15:00:00,fhi:web
Fly,DY1751,Norwegian,Malaga,Bergen,2021-07-17 10:45:00,2021-07-17 14:35:00,fhi:web
Fly,DY1991,Norwegian,Split,Oslo,2021-07-17 10:35:00,2021-07-17 13:25:00,fhi:web
Fly,FS451,Flyr,Evenes,Oslo,2021-07-17 10:20:00,2021-07-17 11:45:00,fhi:web
Fly,AF1252,AirFrance,Paris,Bergen,2021-07-17 09:20:00,2021-07-17 11:30:00,fhi:web
Buss,VY430,VY,Bergen,Ålesund,2021-07-17 08:00:00,2021-07-17 17:30:00,fhi:web
Fly,DY629,Norwegian,Bergen,Oslo,2021-07-16 19:10:00,2021-07-16 20:05:00,fhi:web
Fly,SK885,SAS,Stockholm,Oslo,2021-07-16 17:35:00,2021-07-16 18:35:00,fhi:web
Fly,SK277,SAS,Oslo,Bergen,2021-07-16 17:10:00,2021-07-16 18:00:00,fhi:web
Fly,LH2456,Lufthansa,Munchen,Oslo,2021-07-16 16:40:00,2021-07-16 18:50:00,fhi:web
Fly,DY8411,Norwegian,Tromsø,Oslo,2021-07-16 16:25:00,2021-07-16 18:20:00,fhi:web
Fly,W65033,WizzAir,Krakow,Oslo,2021-07-16 14:40:00,2021-07-16 16:55:00,fhi:web
Fly,DY1741,Norwegian,Barcelona,Oslo,2021-07-16 12:20:00,2021-07-16 15:45:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-16 11:20:00,2021-07-16 15:20:00,fhi:web
Fly,SK4840,SAS,Split,Oslo,2021-07-16 10:45:00,2021-07-16 13:30:00,fhi:web
Fly,LH860,Lufthansa,Frankfurt,Oslo,2021-07-16 10:00:00,2021-07-16 11:55:00,fhi:web
Fly,KL1143,KLM,Amsterdam,Oslo,2021-07-16 09:20:00,2021-07-16 11:05:00,fhi:web
Fly,QR175,Qatar Airways,Qatar,Oslo,2021-07-16 07:55:00,2021-07-16 13:55:00,fhi:web
Fly,ET714,Ethiopian Airlines,Addis Ababa,Stockholm,2021-07-15 23:40:00,2021-07-16 08:45:00,fhi:web
Fly,KL1151,KLM,Amsterdam,Oslo,2021-07-15 20:50:00,2021-07-15 22:35:00,fhi:web
Fly,DY1897,Norwegian,Khania,Oslo,2021-07-15 19:00:00,2021-07-15 22:20:00,fhi:web
Fly,SK393,SAS,Oslo,Bardufoss,2021-07-15 14:45:00,2021-07-15 16:30:00,fhi:web
Fly,AF1774,Air France,Paris,Oslo,2021-07-15 14:14:00,2021-07-15 16:25:00,fhi:web
Fly,DY8417,Norwegian,Evenes,Oslo,2021-07-15 13:05:00,2021-07-15 14:50:00,fhi:web
Fly,SK4680,SAS,Malaga,Oslo,2021-07-15 11:30:00,2021-07-15 15:30:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-15 11:20:00,2021-07-15 15:20:00,fhi:web
Fly,SK295,SAS,Oslo,Bergen,2021-07-14 22:00:00,2021-07-14 22:50:00,fhi:web
Fly,DY544,Norwegian,Oslo,Stavanger,2021-07-14 18:15:00,2021-07-14 19:05:00,fhi:web
Fly,SK885,SAS,Stockholm,Oslo,2021-07-14 17:35:00,2021-07-14 18:35:00,fhi:web
Fly,SK364,SAS,Oslo,Trondheim,2021-07-14 17:10:00,2021-07-14 18:05:00,fhi:web
Tog,R10,VY,Oslo,Brumunddal,2021-07-14 15:34:00,2021-07-14 17:02:00,fhi:web
Fly,KL1175,KLM,Amsterdam,Trondheim,2021-07-14 14:20:00,2021-07-14 16:30:00,fhi:web
Skip,Color Fantasy,Color LIne,Oslo,Kiel,2021-07-14 14:00:00,2021-07-16 10:00:00,fhi:web
Skip,Color Fantasy,Color Line,Oslo,Kiel,2021-07-14 14:00:00,2021-07-16 10:00:00,fhi:web
Fly,DY754,Norwegian,Oslo,Trondheim,2021-07-14 13:35:00,2021-07-14 14:30:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-14 11:20:00,2021-07-14 15:20:00,fhi:web
Fly,SK4412,SAS,Oslo,Tromsø,2021-07-14 10:05:00,2021-07-14 11:55:00,fhi:web
Fly,DY396,Norwegian,Oslo,Tromsø,2021-07-14 10:00:00,2021-07-14 14:20:00,fhi:web
Fly,FR2563,Ryanair,Malaga,Torp,2021-07-14 08:30:00,2021-07-14 12:25:00,fhi:web
Fly,SK1474,SAS,København,Oslo,2021-07-13 23:00:00,2021-07-14 00:10:00,fhi:web
Skip,Superspeed 2,Color LIne,Hirtshals,Larvik,2021-07-13 22:15:00,2021-07-14 02:00:00,fhi:web
Fly,DY1805,Norwegian,Malaga,Oslo,2021-07-13 19:55:00,2021-07-13 23:55:00,fhi:web
Fly,WF779,Widerøe,Oslo,Trondheim,2021-07-13 19:55:00,2021-07-13 22:15:00,fhi:web
Fly,WF195,Widerøe,Bergen,Førde,2021-07-13 17:50:00,2021-07-13 18:50:00,fhi:web
Tog,R10,VY,Oslo,Brumunddal,2021-07-13 15:34:00,2021-07-13 17:02:00,fhi:web
Fly,SK1460,SAS,København,Oslo,2021-07-13 15:30:00,2021-07-13 16:40:00,fhi:web
Fly,SK4425,SAS,Longyearbyen,Tromsø,2021-07-13 15:00:00,2021-07-13 19:10:00,fhi:web
Skip,Crown Seaways,DFDS,København,Fredrikshavn,2021-07-13 14:15:00,2021-07-14 09:15:00,fhi:web
Fly,VY8538,Vueling,Barcelona,Oslo,2021-07-13 13:25:00,2021-07-13 16:55:00,fhi:web
Fly,DY1735,Norwegian,Mallorca,Oslo,2021-07-13 12:50:00,2021-07-13 16:25:00,fhi:web
Fly,SK1458,SAS,København,Oslo,2021-07-13 11:50:00,2021-07-13 12:55:00,fhi:web
Fly,PC1273,Pegasus,Istanbul,Oslo,2021-07-13 10:45:00,2021-07-13 13:40:00,fhi:web
Fly,QR175,Qatar Airways,Doha,Oslo,2021-07-13 07:55:00,2021-07-13 13:40:00,fhi:web
Fly,QR631,Qatar Airways,Slalkot,Doha,2021-07-13 03:20:00,2021-07-13 05:20:00,fhi:web
Tog,R10,VY,Oslo,Brumunddal,2021-07-12 18:34:00,2021-07-12 20:02:00,fhi:web
Fly,SK364,SAS,Oslo,Trondheim,2021-07-12 17:10:00,2021-07-12 18:05:00,fhi:web
Fly,DY3239,Norwegian,København,Oslo,2021-07-12 17:00:00,2021-07-12 18:10:00,fhi:web
Fly,SK1321,SAS,Ålesund,Oslo,2021-07-12 14:50:00,2021-07-12 15:45:00,fhi:web
Fly,KL1175,KLM,Amsterdam,Trondheim,2021-07-12 14:20:00,2021-07-12 16:30:00,fhi:web
Fly,SK4087,SAS,Evenes,Oslo,2021-07-12 13:10:00,2021-07-12 14:50:00,fhi:web
Fly,DY1741,Norwegian,Barcelona,Oslo,2021-07-12 12:20:00,2021-07-12 15:45:00,fhi:web
Fly,SK4680,SAS,Malaga,Oslo,2021-07-12 12:00:00,2021-07-12 16:00:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-12 11:00:00,2021-07-12 15:00:00,fhi:web
Fly,KL1151,KLM,Amsterdam,Oslo,2021-07-12 08:50:00,2021-07-12 10:35:00,fhi:web
Tog,R10,VY,Brumunddal,Oslo,2021-07-12 08:49:00,2021-07-12 10:26:00,fhi:web
Fly,SK1878,SAS,København,Stavanger,2021-07-11 22:45:00,2021-07-11 23:55:00,fhi:web
Fly,SK398,SAS,Bardufoss,Oslo,2021-07-11 19:20:00,2021-07-11 21:10:00,fhi:web
Fly,DY632,Norwegian,Oslo,Bergen,2021-07-11 19:00:00,2021-07-11 19:55:00,fhi:web
Fly,DY537,Norwegian,Stavanger,Oslo,2021-07-11 17:45:00,2021-07-11 18:35:00,fhi:web
Fly,SK4122,SAS,Oslo,Bodø,2021-07-11 17:25:00,2021-07-11 18:50:00,fhi:web
Skip,Linje 2,Norled,Harstad,Tromsø,2021-07-11 17:00:00,2021-07-11 20:00:00,fhi:web
Skip,2 MS Fjordprinsen,Norled,Harstad,Tromsø,2021-07-11 17:00:00,2021-07-11 20:00:00,fhi:web
Skip,2 Fjordprinsen,Boreal Sjø,Harstad,Tromsø,2021-07-11 17:00:00,2021-07-11 20:00:00,fhi:web
Skip,Rute 2,Troms fylkestrafikk,Harstad,Tromsø,2021-07-11 16:30:00,2021-07-11 19:30:00,fhi:web
Fly,LH874,Lufthansa,Frankfurt,Bergen,2021-07-11 15:35:00,2021-07-11 17:35:00,fhi:web
Fly,DY815,Norwegian,Stockholm,Oslo,2021-07-11 15:20:00,2021-07-11 16:20:00,fhi:web
Fly,KL1189,KLM,Amsterdam,Bergen,2021-07-11 15:15:00,2021-07-11 16:55:00,fhi:web
Fly,SK267,SAS,Oslo,Bergen,2021-07-11 14:10:00,2021-07-11 15:00:00,fhi:web
Fly,VY8538,Vueling,Barcelona,Oslo,2021-07-11 13:25:00,2021-07-11 16:55:00,fhi:web
Skip,Linje 2,Norled,Harstad,Bjørkøystedene,2021-07-11 13:20:00,2021-07-11 15:05:00,fhi:web
Skip,6 MS Sternøy,Norled,Harstad,Bjørkøystedene,2021-07-11 13:20:00,2021-07-11 15:05:00,fhi:web
Tog,44,SJ,Trondheim S,Oslo S,2021-07-11 13:19:00,2021-07-11 20:04:00,fhi:web
Fly,SK4087,SAS,Harstad,Oslo,2021-07-11 13:10:00,2021-07-11 14:50:00,fhi:web
Fly,LH862,Lufthansa,Frankfurt,Oslo,2021-07-11 13:05:00,2021-07-11 15:00:00,fhi:web
Fly,SK4473,SAS,Kirkenes,Oslo,2021-07-11 11:30:00,2021-07-11 13:35:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-11 11:20:00,2021-07-11 15:20:00,fhi:web
Fly,DY604,Norwegian,Oslo,Bergen,2021-07-11 10:25:00,2021-07-11 11:20:00,fhi:web
Fly,SK1481,SAS,Stockholm,Bergen,2021-07-11 08:10:00,2021-07-11 09:30:00,fhi:web
Fly,QR175,Qatar Airways,Doha,Oslo,2021-07-11 07:55:00,2021-07-11 13:55:00,fhi:web
Fly,WF460,Widerøe,Bergen,Ålesund,2021-07-11 07:50:00,2021-07-11 08:55:00,fhi:web
Fly,DY4382,Norwegian,Athen,Stockholm,2021-07-11 04:20:00,2021-07-11 07:10:00,fhi:web
Fly,LH864,Lufthansa,Frankfurt,Oslo,2021-07-10 21:30:00,NaT,fhi:web
Fly,KL1205,KLM,Amsterdam,Stavanger,2021-07-10 21:00:00,2021-07-10 22:25:00,fhi:web
Fly,DY548,Norwegian,Oslo,Stavanger,2021-07-10 20:45:00,2021-07-10 21:55:00,fhi:web
Fly,SK4684,SAS,Malaga,Oslo,2021-07-10 20:05:00,NaT,fhi:web
Fly,DY1793,Norwegian,Alicante,Oslo,2021-07-10 18:50:00,2021-07-10 22:30:00,fhi:web
Fly,KL1189,KLM,Amsterdam,Bergen,2021-07-10 15:15:00,2021-07-10 16:55:00,fhi:web
Fly,SK1872,SAS,København,Stavanger,2021-07-10 14:05:00,2021-07-10 15:15:00,fhi:web
Tog,45,SJ,Oslo S,Trondheim S,2021-07-10 14:02:00,2021-07-10 20:51:00,fhi:web
Fly,DY1803,Norwegian,Malaga,Oslo,2021-07-10 13:50:00,2021-07-10 17:50:00,fhi:web
Fly,LH862,Lufthansa,Frankfurt,Oslo,2021-07-10 13:05:00,2021-07-10 15:00:00,fhi:web
Fly,SK4638,SAS,Athen,Oslo,2021-07-10 12:35:00,2021-07-10 15:25:00,fhi:web
Fly,DY360,Norwegian,Oslo,Evenes,2021-07-10 09:25:00,2021-07-10 11:05:00,fhi:web
Fly,SK1334,SAS,Oslo,Ålesund,2021-07-09 22:00:00,2021-07-09 22:55:00,fhi:web
Fly,WF383,Widerøe,Bodø,Svolvær,2021-07-09 21:45:00,2021-07-09 22:10:00,fhi:web
Fly,WF777,Widerøe,Trondheim,Mo i Rana,2021-07-09 18:55:00,2021-07-09 20:40:00,fhi:web
Fly,SK284,SAS,Bergen,Oslo,2021-07-09 18:30:00,2021-07-09 19:30:00,fhi:web
Fly,SK4478,SAS,Oslo,Kirkenes,2021-07-09 17:55:00,2021-07-09 20:00:00,fhi:web
Fly,SK269,SAS,Oslo,Bergen,2021-07-09 15:00:00,2021-07-09 15:50:00,fhi:web
Fly,W65033,WizzAir,Krakow,Oslo,2021-07-09 14:55:00,2021-07-09 17:10:00,fhi:web
Fly,TK1753,Turkish Airlines,Istanbul,Oslo,2021-07-09 14:05:00,2021-07-09 17:00:00,fhi:web
Skip,Color Magic,Color Line,Oslo,Kiel,2021-07-09 14:00:00,2021-07-11 10:00:00,fhi:web
Fly,DY364,Norwegian,Oslo,Evenes,2021-07-09 13:30:00,2021-07-09 15:10:00,fhi:web
Fly,SK6354,SAS,Malaga,Oslo,2021-07-09 11:30:00,2021-07-09 15:30:00,fhi:web
Fly,SK4686,SAS,Barcelona,Oslo,2021-07-09 11:30:00,2021-07-09 14:55:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-09 11:00:00,2021-07-09 15:00:00,fhi:web
Fly,SK4009,SAS,Oslo,Stavanger,2021-07-09 08:30:00,2021-07-09 09:25:00,fhi:web
Fly,WF680,Widerøe,Bergen,Trondheim,2021-07-08 19:50:00,2021-07-08 20:55:00,fhi:web
Fly,SK810,SAS,London,Oslo,2021-07-08 17:30:00,2021-07-08 20:45:00,fhi:web
Fly,SK2872,SAS,København,Oslo,2021-07-08 17:30:00,2021-07-08 18:50:00,fhi:web
Fly,KL1175,KLM,Amsterdam,Trondheim,2021-07-08 14:20:00,2021-07-08 16:30:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-07-08 11:20:00,2021-07-08 15:20:00,fhi:web
Fly,LH860,Lufthansa,Frankfurt,Oslo,2021-07-08 10:00:00,2021-07-08 11:55:00,fhi:web
Fly,ET714,Ethiopian Airlines,Addis Ababa,Stockholm,2021-07-07 23:40:00,2021-07-08 08:45:00,fhi:web
Fly,DY1833,Norwegian,Alicante,Bergen,2021-07-07 19:50:00,2021-07-07 23:25:00,fhi:web
Fly,DY632,Norwegian,Oslo,Bergen,2021-07-07 19:00:00,2021-07-07 19:55:00,fhi:web
Fly,SK396,SAS,Bardufoss,Oslo,2021-07-07 17:00:00,2021-07-07 18:50:00,fhi:web
Skip,Color Magic,Colorline,Oslo,Kiel,2021-07-07 14:00:00,2021-07-09 10:00:00,fhi:web
Skip,Color Magic,Color Line,Oslo,Kiel,2021-07-07 14:00:00,2021-07-09 10:00:00,fhi:web
Fly,DY632,Norwegian,Oslo,Bergen,2021-07-07 13:20:00,2021-07-07 14:15:00,fhi:web
Fly,SK394,SAS,Bardufoss,Oslo,2021-07-07 11:40:00,2021-07-07 13:30:00,fhi:web
Fly,KL1143,KLM,Amsterdam,Oslo,2021-07-07 06:20:00,2021-07-07 08:40:00,fhi:web
Fly,SK287,SAS,Oslo,Bergen,2021-07-06 20:00:00,2021-07-06 20:50:00,fhi:web
Fly,W61783,WIzzAir,Gdansk,Oslo,2021-07-06 19:25:00,2021-07-06 21:05:00,fhi:web
Fly,W61783,WizzAir,Gdansk,Oslo,2021-07-06 19:25:00,2021-07-06 21:05:00,fhi:web
Fly,AF1774,Air France,Paris,Oslo,2021-07-06 14:10:00,2021-07-06 16:25:00,fhi:web
Fly,VY8539,Vueling Airlines,Barcelona,Oslo,2021-07-06 13:25:00,2021-07-06 16:55:00,fhi:web
Fly,PC1273,Pegasus,Istanbul,Oslo,2021-07-06 10:45:00,2021-07-06 13:40:00,fhi:web
Fly,SK260,SAS,Bergen,Oslo,2021-07-06 10:20:00,2021-07-06 11:10:00,fhi:web
Skip,Superspeed 2,Colorline,Hirthals,Larvik,2021-07-05 22:15:00,2021-07-06 02:00:00,fhi:web
Fly,LH864,Lufthansa,Frankfurt,Oslo,2021-07-05 21:30:00,2021-07-05 23:25:00,fhi:web
