tr_type,route,company,tr_from,tr_to,departure,arrival,source
Tog,337,Vy,Oslo,Hamar,2021-08-11 22:34:00,2021-08-11 23:50:00,fhi:web
Buss,516,Kringom,Sogndal,Høyanger,2021-08-11 22:05:00,2021-08-12 00:00:00,fhi:web
Fly,DY638,Norwegian,Oslo,Bergen,2021-08-11 22:00:00,2021-08-11 22:55:00,fhi:web
Tog,R10,Vy,Drammen,Lillehammer,2021-08-11 21:57:00,2021-08-12 00:37:00,fhi:web
Fly,KL1205,KLM,Amsterdam,Stavanger,2021-08-11 21:00:00,2021-08-11 22:25:00,fhi:web
Fly,DY1053,Norwegian,Gdansk,Oslo,2021-08-11 19:25:00,2021-08-11 20:55:00,fhi:web
Buss,NW420,Nor - Way,Sogndal,Bergen,2021-08-11 19:20:00,2021-08-11 20:15:00,fhi:web
Tog,R10,Vy,Drammen Stasjon,Lillehammer,2021-08-11 18:57:00,2021-08-11 21:41:00,fhi:web
Tog,R10,Vy,Drammen,Lillehammer,2021-08-11 18:57:00,2021-08-11 21:41:00,fhi:web
Fly,SK377,SAS,Trondheim,Oslo,2021-08-11 18:35:00,2021-08-11 19:30:00,fhi:web
Buss,NW192,Konkurrenten,Oslo,Kristiansand,2021-08-11 18:10:00,2021-08-11 22:15:00,fhi:web
Fly,DY635,Norwegian,Bergen,Oslo,2021-08-11 17:40:00,2021-08-11 18:35:00,fhi:web
Buss,NW162,Nor-Way,Lillehammer,Bergen,2021-08-11 16:30:00,2021-08-11 18:50:00,fhi:web
Fly,AY915,FinnAir,Helsinki,Oslo,2021-08-11 16:25:00,2021-08-11 17:35:00,fhi:web
Tog,2388,SJ Nord,Røros,Hamar,2021-08-11 16:20:00,2021-08-11 19:46:00,fhi:web
Fly,SK4163,SAS,Trondheim,Bergen,2021-08-11 15:45:00,2021-08-11 16:45:00,fhi:web
Tog,46,SJ Nord,Trondheim,Oslo,2021-08-11 15:26:00,2021-08-11 22:04:00,fhi:web
